,id,type,title,director,genres,overview,vote_average,vote_count
427,s5810,Movie,Step Brothers,Adam McKay,['Comedies'],"Brennan and Dale might be grown men, but that doesn't stop a childish sibling rivalry from erupting after Brennan's mom marries Dale's dad.",6.5,1062
428,s5815,Movie,Steve Jobs,Danny Boyle,['Dramas'],"By keying in on three crucial points in his career, this biopic shows the human foibles and visionary fearlessness of the man who made the Mac.",6.8,1573
429,s5849,Movie,Stripes,Ivan Reitman,"['Classic Movies, Comedies, Cult Movies']","After losing everything, an indolent sad sack impulsively joins the U.S. Army and cajoles his best friend into enlisting, too.",6.5,249
430,s5850,Movie,Striptease,Andrew Bergman,"['Comedies, Dramas']",A former FBI employee works as a stripper to finance her custody battle for her daughter when a secretly shady congressman takes an interest in her.,4.4,205
431,s5858,Movie,Stuart Little,Rob Minkoff,"['Children & Family Movies, Comedies']",Mr. and Mrs. Little want to adopt a brother for their only child but get more than they bargained for when they take in a mouse with an attitude.,5.8,959
432,s5859,Movie,Stuart Little 2,Rob Minkoff,"['Children & Family Movies, Comedies']","Zany misadventures are in store as lovable city mouse Stuart and his human brother, George, raise the roof in this sequel to the 1999 blockbuster.",5.4,613
433,s5907,Movie,Superbad,Greg Mottola,"['Comedies, Cult Movies']","Hoping to have sex before college, high school seniors Seth and Evan try to score booze for a huge party, leading to a series of wild misadventures.",7.0,2100
434,s5911,Movie,Superman Returns,Bryan Singer,"['Action & Adventure, Sci-Fi & Fantasy']","When Superman returns to Metropolis, he finds that Lois Lane has moved on to another man and Lex Luthor is developing a new plan to rule the world.",5.4,1400
435,s5915,Movie,Superstar,Bruce McCulloch,['Comedies'],A socially awkward Catholic schoolgirl vows to win a dreamy classmate’s affections by taking first prize at an upcoming talent show.,5.1,83
436,s5919,Movie,Surf's Up,"Ash Brannon, Chris Buck","['Children & Family Movies, Comedies, Sports Movies']",This Oscar-nominated animated comedy goes behind the scenes at the Penguin World Surfing Championship to get a close-up look at the inventors of surfing.,5.9,601
437,s5927,TV Show,Survivor,,['Reality TV'],"In this long-running reality competition series, players battle the elements and each other as they vie for $1 million and the title of Sole Survivor.",5.4,404
438,s5949,Movie,Swordfish,Dominic Sena,['Action & Adventure'],"Determined to get his mitts on $9 billion in a secret DEA account so he can fight terrorism, a rogue agent recruits an encryption expert to hack in.",6.1,932
439,s5961,Movie,Take Me Home Tonight,Michael Dowse,"['Comedies, Romantic Movies']","Set in the financial boom of the late 1980s, this tale centers on a recent college grad trying to figure out what to do with his life.",6.2,208
440,s5966,TV Show,Taken,,"['Crime TV Shows, TV Action & Adventure, TV Thrillers']","After a personal tragedy upends his life, a highly skilled former Green Beret is drawn into a career as a secret government operative.",7.2,4369
441,s5967,Movie,Takers,John Luessenhop,['Action & Adventure'],A motley crew of bank robbers plans their next heist after a former colleague convinces them to target an armored car carrying $20 million.,6.0,394
442,s5981,TV Show,Tango,,"['International TV Shows, Romantic TV Shows, TV Dramas']",Shocking secrets begin to unravel when the aftermath of a car crash leaves four best friends questioning the truth of their relationships.,6.8,6
443,s5995,Movie,Taxi Driver,Martin Scorsese,"['Classic Movies, Dramas, Thrillers']","Enraged by New York's moral rot and urban decay, an unhinged cab driver goes mad, plotting an assassination and saving a teen sex worker.",8.0,2535
444,s6005,Movie,Tears of the Sun,Antoine Fuqua,"['Action & Adventure, Dramas']","A Navy SEAL is sent to a war-torn African jungle to rescue a doctor, only to realize he must also save the refugees in the physician's care.",6.4,573
445,s6014,Movie,Teenage Mutant Ninja Turtles,Kevin Munroe,"['Children & Family Movies, Comedies']","In this animated adventure, Master Splinter whips the four Ninja Turtles back into shape to defeat monsters running amok in New York.",5.8,2636
446,s6015,Movie,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Michael Pressman,"['Children & Family Movies, Comedies']","The evil Shredder decides that ooze is what gives the ninja turtles their power, so he obtains some of the toxic junk and creates dangerous mutants.",5.8,286
447,s6026,Movie,Terminator 3: Rise of the Machines,Jonathan Mostow,"['Action & Adventure, Sci-Fi & Fantasy']","Ten years after John Connor saved Earth from Judgment Day, he encounters T-X, a robotic assassin ordered to finish what T-1000 started.",5.9,2143
448,s6027,Movie,Terminator Salvation,McG,"['Action & Adventure, Sci-Fi & Fantasy']","All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against increasingly dominating militaristic robots.",5.9,2463
449,s6068,Movie,The Adventures of Sharkboy and Lavagirl,Robert Rodriguez,['Children & Family Movies'],A 10-year-old dreamer's imaginary friends – mighty Sharkboy and fire-producing Lavagirl – come to life to seek his help battling a nefarious baddie.,4.4,269
450,s6070,Movie,The Adventures of Tintin,Steven Spielberg,['Children & Family Movies'],"This 3-D motion capture adapts Georges Remi's classic comic strip about the adventures of fearless young journalist Tintin and his trusty dog, Snowy.",6.7,2061
451,s6081,Movie,The American President,Rob Reiner,"['Comedies, Dramas, Romantic Movies']",The widowed president strikes up a romance with a beautiful Washington lobbyist – but can the couple keep their private and political lives separate?,6.5,195
452,s6082,Movie,The Amityville Horror,Andrew Douglas,['Horror Movies'],"This hair-raising remake of the 1979 horror hit depicts the ordeal of the Lutz family, whose new home has a gory past and a legacy of demons.",6.0,588
453,s6088,TV Show,The Apartment,,"['International TV Shows, Reality TV']","With their eyes on the grand prize, amateur designers push their creative limits in this reality competition show hosted by design icon Jamie Durie.",8.1,483
